Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ALPHA-PRO 3 PVO LATA 400 G,NUCITEC,16,0,33,39,23,31,7,27,7,5,9,26,37,29,26,31,14,16,40,39,2,29,29,8
ALPHA-PRO 3 PVO REFILL 400 G,NUCITEC,2957,3496,2926,2940,3288,3116,3574,3447,2958,2891,3265,3590,3173,3167,3342,3680,3501,3329,2870,3041,3154,3527,3114,3269
APTAMIL PREMIUM 3 POLVO 800 G,BIOCODEX MEXICO,2753,1149,772,3621,2479,216,717,2934,3645,1247,2554,2349,3292,1091,2718,1771,838,3192,2915,2925,3021,709,1479,1614
BELACTA PVO ET 3 400 G,QUIMICA Y FARMACIA,24,1,22,35,7,17,25,29,14,29,29,0,4,15,3,14,8,29,33,32,26,25,9,18
BELACTA PVO ET 3 900 G,QUIMICA Y FARMACIA,2,1,1,0,0,2,1,0,0,1,0,0,1,2,2,2,0,2,0,0,0,2,1,2
BEU PVO KID 800 GR,FRACA,8,76,62,48,80,10,63,84,72,69,66,36,55,75,45,52,67,85,60,44,75,68,39,54
BLEMIL KIDS POLVO 3 800GR +400 GR,SANFER,2,1,0,1,2,1,0,0,0,1,1,1,2,0,2,0,2,1,0,2,1,2,0,0
BLEMIL KIDS PVO 0% AZUCA 800 GR,SANFER,194,153,749,2,379,459,739,118,505,383,409,108,34,146,770,436,606,47,178,708,692,493,294,127
BLEMIL KIDS PVO 3 NUTRIE 800 G+VA SO ENTR,SANFER,14,0,11,14,7,8,15,11,8,6,13,15,7,6,13,6,6,6,3,5,1,10,2,0
BLEMIL KIDS PVO PLUS 3 800 G,SANFER,4,8,9,7,10,1,11,1,8,12,4,10,5,1,0,8,0,12,10,0,7,7,6,8
COGNITA GOLD POLVO ET3 800GR,NESTLE,192,919,1135,311,319,73,1188,905,1578,578,631,1520,102,1127,23,1111,586,6,1066,214,138,1527,538,517
COGNITA GOLD PVO ETAP 3 1.1KG,NESTLE,298,312,228,190,178,335,384,107,26,258,399,304,266,508,175,1,155,427,236,290,263,95,0,294
ENFAGROW PREMIUM POLVO 1.2+ 250G,MEAD JOHNSON NUTRICIONALES,43,850,957,870,883,7,443,563,769,376,697,245,3,154,1000,415,271,63,943,796,932,1078,49,742
ENFAGROW PREMIUM POLVO 1.45 KG,MEAD JOHNSON NUTRICIONALES,1200,49,792,133,542,626,1028,616,879,924,1273,122,927,947,1133,881,252,600,575,708,321,754,77,979
ENFAGROW PREMIUM POLVO 1100 GR,MEAD JOHNSON NUTRICIONALES,19667,32620,29614,16589,16044,18124,24289,15723,24985,29987,22623,15539,24228,31621,23375,32662,22749,13830,22131,13704,32466,27052,24288,22263
ENFAGROW PREMIUM POLVO 1200 KG,MEAD JOHNSON NUTRICIONALES,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0
ENFAGROW PREMIUM POLVO 1300G +150 GR GRAT,MEAD JOHNSON NUTRICIONALES,10,11,10,4,10,0,8,7,4,7,6,9,11,9,0,9,7,9,5,11,5,3,11,8
ENFAGROW PREMIUM POLVO 1350 KG,MEAD JOHNSON NUTRICIONALES,60429,53107,26149,50021,38536,39076,13369,43697,18836,43305,35516,20263,50409,55397,37830,40925,52705,52278,40028,18415,20934,46397,26900,14997
ENFAGROW PREMIUM POLVO 1500 GR,MEAD JOHNSON NUTRICIONALES,52640,71378,58417,66228,79504,68277,63627,60051,53144,48876,45221,30381,26214,44128,29851,26791,73392,76265,73404,22830,29651,34048,84747,59746
ENFAGROW PREMIUM POLVO 1800 GR,MEAD JOHNSON NUTRICIONALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENFAGROW PREMIUM POLVO 2X 800 G,MEAD JOHNSON NUTRICIONALES,5679,9116,16040,7407,6342,11395,848,4577,13077,14150,1456,3554,8530,14540,9510,4294,7150,13624,12939,4438,709,8544,13187,16389
ENFAGROW PREMIUM POLVO 400 G,MEAD JOHNSON NUTRICIONALES,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
ENFAGROW PREMIUM POLVO 550 GR,MEAD JOHNSON NUTRICIONALES,4705,4349,4558,4378,4641,5559,5502,4513,6154,4375,5364,5428,5913,5425,5510,5728,4968,5181,4380,4730,5836,4919,5645,4317
ENFAGROW PREMIUM POLVO 800 G,MEAD JOHNSON NUTRICIONALES,37009,116641,65535,78256,38386,109067,44644,111712,38953,88714,64682,93705,58708,69933,93717,33202,100017,109151,58487,100892,106904,101083,37913,66761
ENFAGROW PREMIUM POLVO 800 G+ME GA BLOC,MEAD JOHNSON NUTRICIONALES,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1
ENFAGROW PREMIUM POLVO 800 GR+ 150 GR,MEAD JOHNSON NUTRICIONALES,2885,4087,1623,4809,4803,3018,606,4047,5153,1335,5274,4732,3282,248,387,3440,4284,618,4859,1616,736,3539,4943,3940
ENFAGROW PREMIUM POLVO 800+ 180G,MEAD JOHNSON NUTRICIONALES,74,180,72,24,113,327,102,214,356,345,282,173,233,18,257,127,130,292,26,279,309,90,262,353
ENFAGROW PREMIUM POLVO 900 G,MEAD JOHNSON NUTRICIONALES,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
ENFAGROW PREMIUM POLVO 900G +FIGU NAVI DA,MEAD JOHNSON NUTRICIONALES,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
ENFAGROW PREMIUM POLVO 950+ 150G MISM LA,MEAD JOHNSON NUTRICIONALES,1857,5036,4583,4615,565,4087,4561,2256,5098,4744,842,3696,1672,4666,1151,3453,4834,2981,2822,1894,1009,2806,2719,3739
ENFAGROW PREMIUM POLVO ECON OPAQ 1200 G,MEAD JOHNSON NUTRICIONALES,1,1,0,1,1,2,0,0,2,1,2,2,2,2,1,0,2,0,2,0,2,2,2,1
ENFAGROW PREMIUM POLVO PACK 2.2KG,MEAD JOHNSON NUTRICIONALES,2035,1555,5863,595,8329,951,6508,1210,3837,6496,316,915,2143,1287,3594,5230,8173,567,7750,3902,7166,3079,207,1742
ENFAGROW PREMIUM POLVO VAINIL 1.45 KG,MEAD JOHNSON NUTRICIONALES,289,521,394,633,370,295,179,218,173,632,226,265,301,637,434,161,482,133,302,291,476,468,265,136
ENFAGROW PREMIUM POLVO VAINIL 1500 G,MEAD JOHNSON NUTRICIONALES,19979,13827,11800,18034,11058,19476,8459,17020,7277,9359,15003,18806,15260,9434,13748,15492,13432,14071,14508,17076,13724,12727,19889,14221
ENFAGROW PREMIUM POLVO VAINIL 400 G,MEAD JOHNSON NUTRICIONALES,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1
ENFAGROW PREMIUM POLVO VAINIL 800+ 150G MI LATA,MEAD JOHNSON NUTRICIONALES,270,1969,2115,1085,915,1021,216,1391,438,87,886,902,365,1923,1130,610,405,84,88,1010,372,1520,1427,613
ENFAGROW PREMIUM POLVO VAINIL 800+ 180G,MEAD JOHNSON NUTRICIONALES,0,9,0,9,7,1,7,9,5,8,2,2,2,2,8,2,2,5,5,9,3,5,3,0
