Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ALFARE POLVO 400 G,NESTLE,2275,1744,2352,2923,2340,5225,4401,5088,4956,5380,4270,5309,5602,1547,4783,3408,2199,3548,5717,853,2844,4111,2089,2903
ALFARE POLVO HMO 400G,NESTLE,4102,734,2881,3829,201,1001,1695,3520,537,4336,4166,2494,1659,3869,1859,973,442,1837,2925,283,339,203,709,1452
ALIMENTUM PVO 400 G,ABBOTT,3622,2894,2540,2999,3613,2206,3667,3435,3437,1756,2829,3200,2165,3104,2880,2543,2762,2150,3486,2183,3930,3334,3064,2244
ALPHA-PRO ELEMENTA POLVO BOTE 400 G,NUCITEC,214,399,462,315,300,309,238,481,497,194,199,509,525,296,469,437,302,311,264,246,459,270,350,435
ALPHA-PRO ELEMENTA PVO BTE 3 400 G,NUCITEC,142,139,126,55,124,150,139,170,202,185,50,139,57,180,182,73,182,99,149,151,119,159,88,196
ALPHA-PRO RICE 1 PVO 400 G,NUCITEC,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
ALPHA-PRO RICE 1 PVO BSA REPU 400 G,NUCITEC,3,3,0,8,8,7,1,3,7,6,2,5,0,6,1,4,3,3,5,2,5,5,8,0
ALPHA-PRO RICE 2 POLVO BTE 400 G,NUCITEC,1438,1352,1597,1460,975,2036,2095,1447,1539,1088,2583,910,2068,743,2215,1305,715,1697,1780,1081,1671,1009,1106,847
ALPHA-PRO RICE 2 PVO BSA REP 400 G,NUCITEC,7811,8843,4927,10999,7680,4343,3924,16091,10598,6291,12461,14922,4802,12757,10465,4936,6937,5989,9241,7468,8324,6818,10315,11405
ALPHA-PRO RICE 3 POLVO LATA 400G,NUCITEC,792,1394,802,137,62,664,588,174,1425,1316,304,219,1354,523,679,937,842,1079,1628,1452,586,361,450,731
ALTHERA POLVO 400GR,NESTLE,4691,220,2879,201,4063,2746,4119,4416,4529,4094,1902,2577,3428,107,1975,4129,546,1847,1315,1461,1739,1981,2043,1463
ALTHERA POLVO 450 G,NESTLE,3122,698,2561,6496,1108,5264,5838,7356,7150,5864,3454,7388,4637,1603,1245,7540,4799,1934,175,1800,6898,779,6423,4956
ALTHERA POLVO DUOPACK 2X400G,NESTLE,175,174,121,22,306,136,120,115,237,26,134,117,94,169,265,102,148,265,267,84,184,151,150,206
APTAMIL PEPTI ALLE POLVO 400 G,BIOCODEX MEXICO,965,471,842,23,1010,522,987,991,905,213,160,420,539,38,225,982,974,608,567,160,319,347,7,21
APTAMIL PEPTI JR POLVO 400 G,BIOCODEX MEXICO,3099,449,1311,1620,3800,2894,3828,4919,2372,2375,311,2173,1,3887,5046,30,252,4425,4611,5120,5015,2014,4517,4305
BEU PVO ALERG H 400 GR,FRACA,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
BEU PVO ALERGEN 400 GR,FRACA,30,23,4,17,8,11,17,18,15,32,15,28,18,7,32,26,31,21,12,25,32,7,8,17
BLEMIL KIDS PVO ARROZ HI DROL IZADO 800 G,SANFER,2,3,2,0,1,3,2,1,4,3,2,2,0,4,3,0,3,4,1,1,4,0,4,4
BLEMIL PLUS 1 ARRO PVO HIDR N/E 400 G,SANFER,3,2,1,3,3,4,2,3,1,0,2,0,3,2,4,4,2,4,2,3,4,3,3,0
BLEMIL PLUS 1 ARRO PVO HIDR N/E 800 G,SANFER,1,0,1,2,1,0,2,0,0,0,1,2,1,0,1,1,1,1,2,2,0,2,2,2
BLEMIL PLUS 2 ARRO POLVO 400 G,SANFER,0,2,0,0,2,1,0,1,1,1,1,1,2,2,1,2,2,0,2,1,0,2,0,1
BLEMIL PLUS 2 ARRO PVO HIDR N/E 400 G,SANFER,2,5,5,4,1,0,3,3,0,0,4,1,1,0,2,4,3,5,2,0,1,1,5,1
BLEMIL PLUS 2 ARRO PVO HIDR N/E 800 G,SANFER,9,1,1,9,12,6,11,11,3,7,2,5,8,11,9,10,11,11,7,4,10,0,5,0
ENFAMIL NUTRA PREM PVO 454 G,MEAD JOHNSON NUTRICIONALES,34,14,16,31,20,6,25,4,20,3,27,10,34,15,9,1,14,41,29,6,4,36,9,9
ENFAMIL PREG PREMI PVO 454 G,MEAD JOHNSON NUTRICIONALES,28,65,52,50,42,81,52,29,46,76,38,74,77,22,55,55,86,54,19,85,29,70,59,19
FRISOLAC G INT HA POLVO 400 G,PISA,4357,5563,4959,4581,3788,6949,5836,4495,6433,6101,4813,5419,4740,5873,4099,4377,6568,7301,4026,7296,4894,4188,7128,4505
FRISOLAC GOLD POLVO PEP AC 400GR,PISA,8303,7771,8138,9932,8090,7442,7629,9637,7056,7375,9006,9814,8680,7445,8470,10330,7170,9488,8042,7715,9998,9220,8829,10129
NEOCATE POLVO 400 G,BIOCODEX MEXICO,1,1,0,1,1,0,2,0,1,1,0,0,2,1,2,1,0,0,1,0,1,2,1,1
NOVAMIL ALLERN CON POLVO 400 G,GENOMMA LAB,2048,1929,1720,2630,2336,2171,2262,1757,1868,1601,3057,1799,2435,1482,1701,2561,2584,1990,2206,2355,2803,2880,1878,2999
NOVAMIL RICE POLVO LATA 400G,GENOMMA LAB,31020,10973,23952,14780,20169,7607,7721,8477,18855,14115,17069,14364,27358,12414,12680,11941,18990,21509,30210,22067,14519,12251,14214,13282
NOVAMIL RICE PVO CAJA 400G,GENOMMA LAB,922,60,286,729,1406,1021,1338,695,424,1790,863,48,1298,1694,1466,2036,898,610,811,471,1521,260,704,1706
NUTRAMIGEN PREM LG POLVO 0-12MESES 357G,MEAD JOHNSON NUTRICIONALES,37550,16756,17673,17839,33295,17042,29760,19831,13463,14072,15709,24507,27760,13263,29954,35909,26755,21461,31314,14548,28950,28495,16793,37010
NUTRAMIGEN PREM LG POLVO 788 G,MEAD JOHNSON NUTRICIONALES,11630,12499,12288,10059,10196,13611,12696,11353,12694,10198,14256,11384,14395,10065,13130,11551,12432,13787,13924,13140,13652,12130,13378,12208
NUTRAMIGEN PREM LGPOLVO 714 G,MEAD JOHNSON NUTRICIONALES,6,2,2,6,11,3,10,2,7,5,4,1,0,8,8,10,4,9,6,7,11,1,7,4
NUTRAMIGEN PREM LGPOLVO ETAPA 3 1-3A¥OS 357G,MEAD JOHNSON NUTRICIONALES,5499,7670,1627,3177,1250,1893,4316,6298,7552,1551,1549,2499,5475,645,5404,3310,4802,3453,2461,2579,6414,2224,5033,6653
NUTRILON PREM PEPTPOLVO SYNEO 0-12 MESES 400G,BIOCODEX MEXICO,878,561,1298,1016,262,961,194,451,62,861,488,883,941,1250,1252,1355,948,1105,1020,1413,1036,1404,1167,782
SIMILAC ALIMENTUM POLVO 400 GR,ABBOTT,2512,2284,2869,2710,2685,2789,2209,2327,2601,2759,2337,2740,2522,2882,2751,2818,2657,2385,2200,2556,2478,2375,2158,2206
