Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
APTAMIL S/LACTOSA POLVO 400 G,BIOCODEX MEXICO,659,665,214,137,310,584,1400,312,391,275,1016,67,193,1119,215,108,298,597,723,491,939,1265,306,772
BEU PVO S/LACTOS 400 G,FRACA,108,35,49,64,18,106,83,33,8,74,58,84,103,63,31,59,26,59,18,31,17,97,96,33
ENFAMIL S/LACTOSA POLVO 400 G,MEAD JOHNSON NUTRICIONALES,1192,2164,3957,3424,1653,1933,2270,2810,3177,3048,2194,3290,2577,1424,3676,3363,3353,1444,3643,3824,2858,3898,2663,3779
ENFAMIL S/LACTOSA POLVO 900 G,MEAD JOHNSON NUTRICIONALES,785,577,530,516,1139,375,940,1051,1109,887,829,1022,417,1273,1042,390,1421,1354,464,647,1143,865,933,485
ENFAMIL S/LACTOSA POLVO PREMIU 400 G,MEAD JOHNSON NUTRICIONALES,11943,13624,14547,12629,15101,11573,11150,7811,8205,9990,10498,14034,10189,9792,11962,7728,11529,12665,11032,8692,12695,8572,12521,8697
ENFAMIL S/LACTOSA POLVO PREMIU 900 G,MEAD JOHNSON NUTRICIONALES,5577,9785,11431,6629,8109,7037,6015,8118,8262,11483,9876,9403,11187,10173,10397,7187,10294,8447,8108,8117,8385,10925,7209,6317
FRISOLAC GOLD PVO SIN LACT 400 G,PISA,14394,15693,6777,13157,9880,6087,4809,8576,5954,12025,16201,2061,1644,14095,2524,8750,15585,9414,14781,5830,12865,9760,14386,6322
LECHE SMA S/LACTOS POLVO LATA 400 G,SANULAC,6513,6218,5640,5387,5608,5047,7060,6760,5125,6573,5990,5238,5859,5387,5071,5686,5229,5398,5707,5764,6289,5822,5361,6396
LECHE SMA S/LACTOS POLVO LATA 900 G,SANULAC,3,1,0,3,1,1,0,2,1,2,0,1,2,1,2,3,0,3,3,1,3,1,1,2
NAN S/LACTOSA POLVO 400 G,NESTLE,35738,31017,46390,47060,43521,40052,44435,41374,33782,45572,44767,32809,38761,35429,38178,41078,41533,42192,37056,43994,38583,47017,43422,45924
NAN S/LACTOSA POLVO DUOPAC 400 G,NESTLE,29561,30310,33580,35100,32182,35383,28621,37727,31077,37504,40995,34488,37611,38198,28422,39928,38222,38219,29362,37774,31684,30995,32620,35376
NOVALAC AD PLUS POLVO 450 G,GENOMMA LAB,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
NOVAMIL AD PLUS POLVO 600 G,GENOMMA LAB,3,5,6,5,7,5,4,4,6,0,3,5,6,6,4,7,2,5,6,0,3,7,1,1
NOVAMIL AD POLVO 600 GR,GENOMMA LAB,461,3085,3135,1970,904,1672,1542,2453,1521,1548,1008,2215,859,229,3145,1035,1467,3330,812,2402,814,1721,2632,3215
NOVAMIL AD PVO 250 G,GENOMMA LAB,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
NUTRIBABY PVO BAJA LAC 400 G,SIEGFRIED-MED,1871,2149,2201,2341,2249,2247,2167,2414,2442,2117,2322,2565,2250,2225,1867,2452,1809,2542,2089,2555,2189,2255,1945,2257
NUTRILON PVO S/LACTOS 400 G,BIOCODEX MEXICO,76,268,295,59,134,163,118,296,173,51,250,21,89,222,164,311,281,1,241,208,106,28,173,172
SIMILAC SENSIT LF POLVO 375 G,ABBOTT,7855,7653,6661,7416,4769,4134,8754,6191,4124,6037,6607,4528,5399,7772,7598,4416,7525,4818,4491,4518,5888,8324,7073,6018
SIMILAC SENSITIV PVO S/LACTOS 850 GR,ABBOTT,7709,6837,6210,6483,6535,6266,6874,7678,6202,7361,7925,7671,7776,7061,5932,6641,7905,7890,6149,6583,6903,7625,7443,6877
SIMILAC SENSIV IQ POLVO 365 G,ABBOTT,746,999,903,507,524,1288,1178,371,386,255,287,1280,1298,1008,562,831,1025,276,1268,886,825,1199,1135,454
