Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ALPHA-PRO PREMATUR POLVO 400 G,NUCITEC,22,17,5,26,2,25,26,16,2,4,23,10,19,14,16,30,4,10,11,6,12,12,3,2
BEU POLVO PRE 400GR,FRACA,3,4,1,1,3,3,3,2,4,4,4,4,2,3,0,3,4,2,0,1,0,4,3,1
ENFAMIL ENFACARE PREMIUM PRE PVO 363 G,MEAD JOHNSON NUTRICIONALES,324,258,297,74,359,18,146,6,151,80,366,184,125,82,164,13,197,210,178,129,132,153,387,215
ENFAMIL PREMACARE PVO 363 GR,MEAD JOHNSON NUTRICIONALES,1451,326,1182,1125,84,418,1661,977,53,1129,1524,1180,743,582,1064,364,736,627,1047,680,1153,1396,952,350
FRISOLAC PREMATURO POLVO 400 G,PISA,1290,745,784,1517,1383,893,1491,1039,1243,1202,1246,1326,1116,1065,1493,1042,1194,1001,1142,863,798,1200,888,1232
GOOD START SUPR PR PVO PREMATUR 400 G,NESTLE,1007,241,1910,2195,1040,1160,1050,357,893,7,1437,1716,2068,553,827,397,895,997,769,1142,600,1274,1368,205
LECHE SMA GOLD TRA POLVO 400 G,SANULAC,1,0,2,0,2,1,0,1,2,1,2,0,0,0,2,1,0,0,1,1,1,2,2,2
NIDO LCH POLVO FORTICRECE 2040GR+PLASTILINA,NESTLE,19969,12540,17822,22939,16333,19537,20940,22372,8163,4350,20832,20119,19899,870,587,5330,5122,11423,2784,10731,12256,1109,18542,12227
NIDO LCH POLVO FORTIGROW 1.920GR,NESTLE,302,1144,215,1282,627,668,1071,0,815,1533,350,290,667,1266,627,1170,739,1470,588,187,800,427,1316,153
NIDO LCH PVO 120GR BSA,NESTLE,7495,15569,14056,16028,13553,15741,16218,7038,16243,17970,16713,10829,17626,7712,17855,18080,15556,10485,10726,4572,11391,13203,14646,12490
NIDO LCH PVO 1500GR PRE-ESCOLAR +CRAYOLAS,NESTLE,7876,4978,7774,7209,3846,9823,9827,594,6166,9793,4870,3950,2148,6292,10031,0,4584,2700,8291,3672,9194,4402,1444,2537
NIDO LCH PVO 1500GR SEMIDESCREMADA,NESTLE,3,9,4,8,2,2,3,8,8,9,5,0,2,0,6,8,9,1,6,1,4,6,0,9
NIDO LCH PVO 1560GR FORTICRECE DESCREMADA,NESTLE,395,268,480,509,277,314,212,302,141,213,433,225,364,65,539,324,392,304,460,99,253,426,500,441
NIDO LCH PVO 1560GR FORTIGROW LTA,NESTLE,1615,6798,802,4549,6768,6976,5246,1906,5350,3845,909,2621,6921,4506,1683,6308,2860,2103,3594,302,2188,3293,4340,1555
NIDO LCH PVO 1600GR,NESTLE,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
NIDO LCH PVO 1600GR DESLACTOSADA,NESTLE,14039,15209,23153,13757,15300,12971,23569,25504,23622,31928,27775,16533,30839,24676,18117,24626,15746,14529,12395,17623,29186,10948,30723,28797
NIDO LCH PVO 1600GR FORTI/DESLACT+ GISES,NESTLE,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
NIDO LCH PVO 1600GR LATA DECORADA,NESTLE,5,3,3,4,3,0,2,5,2,4,1,1,4,5,3,5,0,1,5,5,2,2,3,2
NIDO LCH PVO 1600GR+320GR DESLACTOSADA,NESTLE,163,214,753,120,222,290,139,109,95,439,3,542,338,145,787,79,550,230,454,38,445,445,755,260
NIDO LCH PVO 1680GR,NESTLE,1,2,1,0,1,1,0,0,0,0,1,1,0,2,0,2,0,2,2,1,2,0,1,0
NIDO LCH PVO 1680GR+CERELAC 370GR,NESTLE,14,14,13,12,0,6,11,6,14,5,13,7,7,6,14,1,15,2,6,5,3,1,15,3
NIDO LCH PVO 1680GR+CERELAC 400GR,NESTLE,3,2,3,0,5,5,3,0,1,3,3,2,4,2,0,2,2,2,2,3,5,3,5,4
