Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ALPHA-PRO 2 PVO LTA 400 G,NUCITEC,32,35,14,8,8,15,17,33,27,33,25,26,35,34,5,25,26,28,13,27,28,11,15,25
ALPHA-PRO 2 PVO REFILL 400 G,NUCITEC,2239,1307,1684,1870,2125,2427,1839,2201,2171,2331,2040,1881,2415,2071,1915,2017,1700,1688,2415,1552,2450,1832,1739,1773
APTAMIL PREMIUM 2 POLVO 800 G,BIOCODEX MEXICO,809,865,398,783,319,796,12,571,712,460,117,388,1142,887,755,40,537,49,1200,1100,842,840,207,1175
BELACTA PVO ET 2 400 G,QUIMICA Y FARMACIA,17,18,93,49,0,99,70,44,34,14,39,19,17,20,3,35,27,25,72,50,97,91,75,66
BELACTA PVO ET 2 900 G,QUIMICA Y FARMACIA,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
BEU POLVO 2 400 G,FRACA,16,10,20,18,14,0,32,2,12,33,9,14,10,17,10,27,14,15,28,10,26,13,16,0
BLEMIL PLUS 2 POLVO 400 G,SANFER,57,56,66,50,62,54,57,45,68,51,55,63,63,54,70,57,56,63,56,42,66,46,54,53
BLEMIL PLUS 2 PVO NUTRIEXP 400 G,SANFER,18,64,99,88,114,95,62,61,53,25,21,105,120,10,135,44,111,111,88,141,90,84,136,82
BLEMIL PLUS 2 PVO NUTRIEXP 800 G,SANFER,17,6,12,27,7,2,16,22,24,3,16,1,2,25,14,13,5,2,17,22,21,3,16,5
COGNITA GOLD POLVO ET2 800GR,NESTLE,269,479,174,33,355,287,292,285,320,407,390,149,414,248,378,312,518,465,315,298,360,102,103,149
COGNITA GOLD PVO ETAP 2 375GR,NESTLE,61,153,36,144,7,151,123,44,104,77,131,115,59,146,102,40,32,20,84,116,151,98,19,37
ENFAMIL PREMIUM 2 POLVO 1.2KG,MEAD JOHNSON NUTRICIONALES,17,29,4,25,40,16,1,50,31,52,35,18,23,46,50,11,7,28,12,39,29,35,53,21
ENFAMIL PREMIUM 2 POLVO 1100 GR,MEAD JOHNSON NUTRICIONALES,11449,13665,16838,10457,21589,13395,9867,15156,15363,15665,12207,11844,18688,12246,20216,11752,15961,8782,17205,19405,15416,11765,12478,17704
ENFAMIL PREMIUM 2 POLVO 1100G +250 G,MEAD JOHNSON NUTRICIONALES,1293,1205,1524,1095,1077,363,1507,740,1169,1549,278,645,1420,1137,861,153,346,911,737,1186,1325,282,1287,67
ENFAMIL PREMIUM 2 POLVO 1500G,MEAD JOHNSON NUTRICIONALES,19129,14802,4809,11986,13033,19881,18742,9008,9361,11422,12242,16838,10648,3606,15367,10517,2306,16104,11260,12286,19548,6772,6041,15119
ENFAMIL PREMIUM 2 POLVO 2.2KG,MEAD JOHNSON NUTRICIONALES,278,1007,322,48,54,1015,356,440,430,251,954,133,879,563,386,54,156,161,210,706,737,916,766,603
ENFAMIL PREMIUM 2 POLVO 250 G,MEAD JOHNSON NUTRICIONALES,304,304,389,304,182,282,331,317,379,290,279,352,279,421,326,411,396,324,272,168,161,235,421,266
ENFAMIL PREMIUM 2 POLVO 300 G,MEAD JOHNSON NUTRICIONALES,25175,23154,27831,29443,25641,28840,20368,30119,33945,22502,29770,21762,32574,26047,19382,24573,28578,21005,22591,30927,30132,33605,33629,31257
ENFAMIL PREMIUM 2 POLVO 375 GR,MEAD JOHNSON NUTRICIONALES,5143,3070,6402,6654,5414,7872,6605,4704,5771,4821,4732,5748,3374,8097,7458,8803,4063,7425,5773,7254,6384,5037,5027,9010
ENFAMIL PREMIUM 2 POLVO 800 G,MEAD JOHNSON NUTRICIONALES,35059,28679,27910,21843,42490,28934,42422,25139,35473,37721,32806,29717,25824,24148,22953,18662,27582,18574,34002,22583,25710,40327,24067,20113
ENFAMIL PREMIUM 2 PVO 1.300 KG,MEAD JOHNSON NUTRICIONALES,5594,6446,19859,7777,19860,5678,11423,19598,17219,7497,17356,16885,13500,5252,5294,7403,8336,6618,15710,6230,7308,20394,11020,10409
ENFAMIL PREMIUM 2 PVO 180 GR,MEAD JOHNSON NUTRICIONALES,248,1069,131,826,238,452,928,314,245,691,489,211,1401,1211,1200,1314,14,576,1269,511,1386,869,1192,516
ENFAMIL PREMIUM 2 PVO RELLENA PACK 800 G,MEAD JOHNSON NUTRICIONALES,0,4,5,0,1,5,2,4,1,3,3,2,5,3,0,0,2,3,5,4,5,0,5,4
ENFAPRO PREM 2 TAN POLVO 900 G,MEAD JOHNSON NUTRICIONALES,2,1,1,2,1,3,2,0,0,2,2,1,3,0,2,1,0,2,3,1,2,1,0,1
ENFAPRO PREMIUM 2 PVO 1200 G ECON,MEAD JOHNSON NUTRICIONALES,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
ENFAPRO PREMIUM 2 PVO 900 G,MEAD JOHNSON NUTRICIONALES,0,2,1,2,1,1,0,1,1,0,2,0,1,1,0,2,0,0,0,1,2,1,0,1
