Producto,Laboratorio,Mar 2020,Abr 2020,May 2020,Jun 2020,Jul 2020,Ago 2020,Sep 2020,Oct 2020,Nov 2020,Dic 2020,Ene 2021,Feb 2021,Mar 2021,Abr 2021,May 2021,Jun 2021,Jul 2021,Ago 2021,Sep 2021,Oct 2021,Nov 2021,Dic 2021,Ene 2022,Feb 2022
ALPHA-PRO ARACAE PVO 400 G,NUCITEC,2959,4437,4194,2962,5424,4608,4190,4397,3717,4859,1813,1541,2353,1752,2015,4999,2623,2229,1526,4592,2003,5621,5665,5116
ALPHA-PRO ARACAE PVO REPUESTO 400 G,NUCITEC,2975,5692,4619,5527,3453,5817,5023,3460,3810,2982,4284,5194,2723,2879,5930,4811,5383,3610,3502,5416,5414,4440,4870,5826
ALPHA-PRO COMFORT PVO ETAP 0- 12 400 G,NUCITEC,3032,2151,3181,2063,1852,1814,2537,2689,2268,2581,3199,1592,1957,3079,2404,2410,2629,2979,2197,3091,1348,1503,2657,2064
APTAMIL AR POLVO 400 G,BIOCODEX MEXICO,771,483,1353,1374,407,1195,1419,849,1673,1169,1403,369,919,1485,985,463,651,266,1527,1273,1477,757,973,450
APTAMIL COMFORT POLVO 400 G,BIOCODEX MEXICO,1641,1724,563,244,525,1375,154,528,1178,1675,894,18,2307,1249,585,1919,303,1363,553,1320,2057,2300,202,59
APTAMIL COMFORT POLVO 900 G,BIOCODEX MEXICO,53,661,63,1416,817,224,698,352,347,773,654,419,732,15,208,1353,950,1076,962,818,1314,1212,593,1051
APTAMIL HA POLVO 400 G,BIOCODEX MEXICO,313,18,315,38,311,24,346,218,396,118,371,244,54,261,361,421,263,193,244,392,316,308,184,11
BLEMIL PLUS 1 AE POLVO 400 G,SANFER,0,1,5,5,4,2,2,1,1,3,4,6,6,0,5,0,0,0,2,1,5,5,2,4
BLEMIL PLUS 1 AE PVO NUTRIEXP 400 G,SANFER,104,10,62,151,3,67,105,137,52,128,58,101,60,9,93,126,71,116,97,34,8,15,83,129
BLEMIL PLUS 2 AE POLVO 400 G,SANFER,3,0,2,2,0,3,2,3,0,3,3,2,2,3,1,2,2,1,1,1,1,2,1,3
BLEMIL PLUS 2 AE PVO NUTRIEXP 400 G,SANFER,50,227,89,174,103,35,181,18,235,96,164,9,202,32,167,32,13,210,51,230,217,93,118,101
BLEMIL PLUS ARAC POLVO 400 G,SANFER,2,1,1,2,0,1,3,2,0,1,2,0,3,2,1,1,2,0,2,1,2,3,1,1
BLEMIL PLUS COMFOR POLVO 400 G,SANFER,77,45,65,10,31,103,89,93,113,142,1,79,14,140,64,132,130,51,21,17,44,72,109,64
ENFAMIL A.R. POLVO 400 G,MEAD JOHNSON NUTRICIONALES,6780,7840,4904,4345,7782,5252,5319,6797,7401,7326,7267,5137,6214,5585,6419,6733,5292,6501,6620,6434,6657,7247,6461,5198
ENFAMIL A.R. POLVO LATA 900 G,MEAD JOHNSON NUTRICIONALES,7413,9173,7879,9979,8400,8695,8146,7988,10626,8796,9097,9093,8320,10471,8860,10248,9937,8196,8207,10514,10524,8238,7071,10609
ENFAMIL COMFORT PR POLVO 1.1 GR,MEAD JOHNSON NUTRICIONALES,13712,16974,14537,14014,15564,16729,14456,13922,15185,14369,14883,14790,15314,17066,16170,15167,14193,16433,14203,15330,15476,15157,16472,15343
ENFAMIL COMFORT PR POLVO 375 GR,MEAD JOHNSON NUTRICIONALES,27635,36906,27704,32421,33153,35666,32004,35199,29381,33139,29254,30344,32609,29916,33391,31167,31054,30931,38001,31069,33933,33758,32147,28211
ENFAMIL COMFORT PR POLVO 800 GR,MEAD JOHNSON NUTRICIONALES,36443,35781,34073,37069,48033,44461,35060,42335,39753,38862,42927,47618,37833,46184,39226,43557,45813,37565,43015,37306,46096,40747,40533,39545
ENFAMIL COMFORT PR POLVO 900 G,MEAD JOHNSON NUTRICIONALES,2,0,0,0,1,0,1,2,2,0,0,0,0,0,2,1,0,1,1,2,1,0,0,1
ENFAMIL HA CONF PR POLVO 400 G,MEAD JOHNSON NUTRICIONALES,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
ENFAMIL HA PVO 400 G,MEAD JOHNSON NUTRICIONALES,7,1,6,3,7,9,9,5,3,4,4,2,5,5,2,5,4,2,9,8,7,4,4,2
FRISO HIPOALERG POLVO 400 G,PISA,2251,3183,2719,1868,2838,2230,3770,2894,3994,2821,3231,3616,4306,3854,3542,3715,1874,3090,3455,2758,2563,3991,4148,4240
FRISOLAC COMFORT PVO GOLD MULTI-O 0-12MESES 400G,PISA,3119,12773,5090,7665,4025,4261,13775,16221,10202,10473,13355,13911,6762,15703,3171,17321,3627,9438,16014,12178,11574,3525,3817,333
FRISOLAC G COMF AR POLVO 400 G,PISA,44463,27369,32330,28537,26636,53203,43876,39996,44493,26856,37995,28000,42542,25473,40806,30471,42950,43927,37408,51849,47537,21776,38642,19497
FRISOLAC G COMF AR POLVO 800G,PISA,8556,27060,11841,41145,6799,14004,34187,31362,6384,19028,18685,1180,43718,10421,6623,15969,24727,34812,42617,9568,42033,11760,24295,19245
FRISOLAC G COMF AR POLVO 900 G,PISA,43194,30499,40469,8457,10348,38468,23418,1242,39222,28954,3071,20265,9627,39717,26797,28802,15602,24010,40038,24404,8018,24780,32151,28713
FRISOLAC G COMF AR PVO 0-12MESES 800G,PISA,8401,11901,7597,5224,1590,1147,11996,11795,4799,13386,9092,7881,6723,196,9459,6973,4361,2845,10388,7840,7629,8053,12976,4411
GOOD STAR SUPRE CO POLVO 400 G,NESTLE,5685,3865,4441,5720,4965,4207,4942,4803,4691,5295,4670,5511,4991,5163,4945,5361,4867,4361,4326,4160,4470,4410,3477,5583
GOOD STAR SUPRE CO POLVO 800 G,NESTLE,17877,13941,18541,13364,13767,15588,16927,17713,18616,16178,17229,13261,17729,17151,14677,15114,15788,13934,16441,18334,17110,16913,15279,16056
LECHE SMA AR POLVO LATA 400 G,SANULAC,623,1531,1246,731,1628,1198,1185,537,1066,505,835,1235,668,105,903,701,794,749,323,118,1144,212,1347,1222
LECHE SMA AR POLVO LATA 900 G,SANULAC,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1
LECHE SMA COMF GOL POLVO 1800 GR,SANULAC,1759,791,1741,37,1204,1076,1153,1050,1818,322,1274,1389,238,734,561,347,167,1918,1124,574,1507,1042,1811,622
LECHE SMA COMF GOL PVO SENSITIV 400 G,SANULAC,6859,6501,9609,9524,6610,8034,5163,8345,8933,6611,4261,9572,9265,7559,5662,4951,7672,6432,7576,8502,4506,5347,4071,5736
LECHE SMA COMF GOL PVO SENSITIV ALULA 400 G,SANULAC,11,20,10,11,17,9,21,12,24,15,23,17,25,9,12,24,14,23,11,22,16,9,16,23
LECHE SMA CONF GOL PVO SENSITIV 900 GR,SANULAC,8483,6778,8763,7968,11067,9957,10383,8780,10971,4781,6702,10300,4405,9737,10414,9796,9318,5675,6969,8833,9916,6610,9905,10071
LECHE SMA HA GOLD POLVO 400 G,SANULAC,0,2,1,1,1,2,2,2,1,0,0,0,2,0,2,2,1,2,1,1,1,0,0,0
NAN A.R. POLVO 400 G,NESTLE,7177,7826,8242,7225,6849,8266,6693,7602,8003,6598,6965,7849,8230,7464,7441,7015,7025,7396,7334,8255,8318,7096,7305,7508
NAN A.R. POLVO 800 G,NESTLE,10376,11128,11867,12205,10724,10409,10509,11263,11788,10361,10934,11188,10610,10703,9475,10891,10242,11785,9775,11275,9885,11156,9703,10913
NAN A.R. POLVO NF 400 G,NESTLE,311,384,368,380,333,295,282,372,356,333,334,358,283,403,355,311,277,397,401,367,304,337,308,312
NAN CONFORT TOTAL POLVO 400 G,NESTLE,2806,9784,5491,854,17615,4540,2172,10805,15533,15473,17629,16254,4856,6304,10407,2371,18349,14048,18456,2804,5471,18431,2198,7941
NAN CONFORT TOTAL POLVO 900 G,NESTLE,7958,40138,46950,3542,43732,40850,30878,15788,14571,47243,42944,341,23997,19655,9411,24909,8978,15950,31797,26852,29825,15626,5508,14548
NAN CONFORT TOTAL PVO ETAP 1 400G,NESTLE,8956,10366,7804,7370,10802,1318,9165,4524,761,3567,6938,1331,10558,4691,1476,7076,9583,7391,2678,1234,9430,2609,960,2637
NAN CONFORT TOTAL PVO ETAP 1 900G,NESTLE,647,15491,3878,9995,9425,8419,22098,762,9092,13224,20381,15496,3956,4264,1615,17031,9927,13846,8621,6106,23780,4536,15763,6341
NAN CONFORT TOTAL PVO ETAP 2 400G,NESTLE,9,17,4153,5109,5551,5092,2629,4704,1957,3043,5627,781,1295,4535,5882,473,4065,582,2915,1162,508,1968,3017,5410
NAN CONFORT TOTAL PVO ETAP 2 900 G,NESTLE,41,14673,11272,4408,10103,16935,11471,17597,12831,12124,9294,2744,15949,11809,4961,14640,3,5362,1798,9593,3707,3686,10088,10970
NAN CONFORT TOTAL PVO>2 6-12MESES 900G,NESTLE,17120,18528,13955,4253,12931,1712,17196,8918,18673,17051,8285,6662,15082,7072,4953,3754,6550,7687,10163,12066,18508,17803,17745,9779
NAN H.A 1 POLVO 800 G,NESTLE,2565,2654,3374,4176,2965,2680,3683,3801,2704,3977,3722,3106,3291,2307,3982,2868,2931,3653,2799,4126,2274,3404,3656,2465
NAN H.A 1 POLVO 900 G,NESTLE,7,20,101,32,100,43,28,2,62,106,23,25,75,35,47,16,100,47,87,108,82,73,18,65
